Marke,Modell,Baujahr,Getriebe,Kilometerstand,Kraftstoffart,Verbrauch (l/100km),Motorgröße (l),Alter
0,12,2019,1,11746,1,6.16,2.0,4
0,118,2019,1,2275,1,5.75,1.5,4
0,120,2019,0,8263,2,6.16,2.0,4
0,120,2019,0,9694,2,6.16,2.0,4
0,120,2020,1,16,1,7.33,2.0,3
0,121,2019,0,16,2,7.08,3.0,4
0,121,2019,0,16,2,7.08,3.0,4
0,120,2020,1,16,1,7.66,2.0,3
0,12,2020,1,16,1,5.57,2.0,3
0,121,2015,0,76614,2,4.91,3.0,8
0,9,2015,1,42848,1,4.08,1.4,8
0,13,2018,0,8160,1,4.67,2.0,5
0,13,2015,1,45079,1,6.74,3.0,8
0,119,2019,0,16,2,4.99,2.0,4
0,13,2019,0,16,2,4.58,2.0,4
0,119,2019,0,16,2,4.99,2.0,4
0,9,2019,2,16,1,4.74,1.0,4
0,12,2019,0,16,2,4.41,2.0,4
0,15,2019,1,16,2,6.16,3.0,4
0,14,2019,0,3218,2,4.91,2.0,4
0,118,2019,0,16,1,5.41,1.5,4
0,14,2019,0,5648,2,6.5,3.0,4
0,11,2019,0,16,1,5.25,1.5,4
0,13,2019,0,16,1,5.91,2.0,4
0,13,2019,0,1625,1,5.91,2.0,4
0,14,2019,1,804,2,4.91,2.0,4
0,12,2019,0,16,1,5.5,2.0,4
0,11,2019,2,16,2,4.33,1.6,4
0,13,2019,0,16,1,5.91,2.0,4
0,13,2019,0,16,2,4.58,2.0,4
0,11,2019,2,16,2,4.58,1.6,4
0,121,2019,0,2430,2,7.08,3.0,4
0,126,2019,1,16,1,7.81,2.5,4
0,12,2016,1,48030,1,5.16,2.0,7
0,11,2014,1,44023,1,5.5,1.8,9
0,12,2016,2,33611,2,3.66,2.0,7
0,11,2014,0,16952,1,4.16,1.2,9
0,11,2016,2,41673,2,3.33,2.0,7
0,9,2016,2,52894,1,3.5,1.0,7
0,120,2015,1,68868,2,4.99,2.0,8
0,14,2015,1,78920,2,4.67,3.0,8
0,118,2017,2,36211,2,3.66,1.6,6
0,16,2017,0,2285,2,4.67,3.0,6
0,13,2019,0,16,1,5.82,2.0,4
0,13,2017,1,43354,2,3.75,2.0,6
0,16,2014,1,39889,2,4.91,3.0,9
0,12,2017,2,30192,1,4.58,1.4,6
0,13,2019,0,16,1,5.82,2.0,4
0,119,2019,2,16,2,5.5,2.0,4
0,12,2019,0,16,1,6.08,2.0,4
0,11,2017,1,35880,1,4.16,1.4,6
0,118,2017,2,29077,1,4.5,1.4,6
0,11,2018,2,40233,1,5.57,1.5,5
0,118,2017,2,37084,1,4.25,1.0,6
0,13,2014,1,130198,2,3.91,2.0,9
0,12,2019,0,16,2,4.67,2.0,4
0,9,2019,2,16,1,4.83,1.0,4
0,119,2016,2,42605,2,4.5,2.0,7
0,120,2013,1,105344,2,5.33,3.0,10
0,154,2018,2,54991,1,4.99,1.8,5
0,120,2019,1,160,1,7.08,2.0,4
0,119,2019,0,1046,2,4.99,2.0,4
0,120,2019,0,16,2,6.16,2.0,4
0,120,2019,1,16,1,7.08,2.0,4
0,12,2019,2,4712,1,5.67,2.0,4
0,119,2018,2,11518,1,4.58,1.4,5
0,119,2016,1,50855,2,4.67,2.0,7
0,121,2016,1,74995,2,6.0,4.0,7
0,11,2019,2,16,2,4.16,2.0,4
0,13,2018,1,22656,1,5.16,2.0,5
0,13,2015,2,21423,2,4.08,2.0,8
0,14,2018,1,16,2,4.67,2.0,5
0,129,2015,1,33767,1,8.0,4.0,8
0,14,2018,1,25105,2,4.67,2.0,5
0,14,2019,0,8737,2,4.91,2.0,4
0,118,2019,0,4361,1,5.75,1.5,4
0,121,2019,0,10336,2,7.08,3.0,4
0,9,2017,2,17730,1,3.5,1.0,6
0,119,2017,2,27210,1,4.58,1.4,6
0,12,2017,2,46350,1,4.74,2.0,6
0,12,2017,2,37597,1,4.67,1.4,6
0,120,2013,2,80507,1,6.24,2.0,10
0,122,2018,1,13598,2,7.17,3.0,5
0,14,2018,1,2880,2,4.67,2.0,5
0,12,2018,1,16,1,4.41,1.4,5
0,12,2018,2,16,1,4.5,1.4,5
0,11,2018,0,10869,2,4.5,1.6,5
0,119,2014,1,57007,2,4.91,2.0,9
0,11,2017,1,26880,1,5.67,2.0,6
0,119,2017,2,59872,1,4.58,1.4,6
0,11,2013,1,71462,2,3.99,2.0,10
0,119,2014,2,127763,2,4.67,2.0,9
0,11,2015,1,99470,2,4.08,2.0,8
0,9,2016,2,16883,1,3.5,1.0,7
0,11,2018,2,30577,1,4.74,2.0,5
0,9,2016,2,30416,1,3.5,1.0,7
0,11,2014,2,81915,2,3.41,2.0,9
0,14,2013,2,78857,2,7.92,2.0,10
0,9,2015,2,37145,1,5.91,2.0,8
0,121,2020,1,1329,2,8.0,4.0,3
0,12,2019,1,9635,1,6.16,2.0,4
0,14,2019,1,4791,2,4.91,2.0,4
0,120,2019,0,12187,2,6.0,2.0,4
0,119,2019,2,4916,2,5.5,2.0,4
0,12,2019,0,35,1,6.08,2.0,4
0,12,2019,0,3621,2,4.58,2.0,4
0,120,2016,1,33067,2,4.99,2.0,7
0,120,2019,0,16,2,6.0,2.0,4
0,13,2016,1,30300,1,6.57,3.0,7
0,120,2019,1,45,1,7.33,2.0,4
0,121,2016,0,62207,2,4.91,3.0,7
0,11,2014,2,41463,1,5.82,2.0,9
0,154,2016,2,45708,2,3.75,2.0,7
0,9,2015,2,27603,1,4.16,1.4,8
0,11,2016,2,47918,1,3.91,1.4,7
0,120,2017,1,12554,1,6.92,3.0,6
0,120,2015,1,97524,2,5.5,3.0,8
0,9,2017,2,33265,1,4.08,1.4,6
0,11,2019,0,3632,2,4.5,1.6,4
0,11,2019,2,6500,2,4.58,1.6,4
0,11,2016,2,34183,1,4.5,1.4,7
0,119,2016,2,27270,2,4.74,2.0,7
0,12,2018,0,28984,1,4.74,1.4,5
0,12,2017,1,47721,2,3.75,2.0,6
0,13,2014,1,120956,1,6.74,3.0,9
0,119,2014,1,54463,2,4.91,2.0,9
0,11,2015,2,69164,2,3.5,2.0,8
0,12,2019,1,41,2,4.91,2.0,4
0,9,2016,2,28089,1,3.5,1.0,7
0,11,2018,2,28239,1,4.16,1.5,5
0,11,2020,1,505,1,6.74,2.0,3
0,9,2016,2,40249,1,3.99,1.4,7
0,14,2019,1,5275,2,4.91,2.0,4
0,15,2019,0,2068,2,6.0,3.0,4
0,14,2019,0,7153,2,4.91,2.0,4
0,12,2020,1,11262,1,6.16,2.0,3
0,12,2020,1,10856,2,5.16,2.0,3
0,121,2015,1,34190,2,4.91,3.0,8
0,12,2017,2,44086,2,3.66,2.0,6
0,9,2016,2,47126,1,3.5,1.0,7
0,9,2016,2,33643,1,4.16,1.4,7
0,9,2017,2,39245,1,3.5,1.0,6
0,154,2017,1,18702,1,5.5,2.0,6
0,11,2019,1,5486,1,5.41,1.5,4
0,120,2016,1,48557,2,5.57,3.0,7
0,12,2015,2,43477,2,3.75,2.0,8
0,12,2020,2,11999,1,5.75,2.0,3
0,14,2019,1,32,2,4.25,3.0,4
0,12,2019,1,7694,1,5.75,2.0,4
0,119,2016,1,64782,1,5.82,2.0,7
0,154,2019,1,19827,1,5.75,2.0,4
0,118,2018,2,26608,1,4.74,1.4,5
0,119,2017,1,32307,1,5.57,2.0,6
0,11,2016,2,23176,1,3.91,1.0,7
0,11,2016,1,31269,1,4.91,2.0,7
0,127,2013,1,45639,1,8.91,4.2,10
0,122,2019,1,26369,2,7.0,3.0,4
0,9,2014,2,39853,2,3.17,1.6,9
0,9,2014,2,42069,1,4.41,1.4,9
0,13,2020,1,12121,1,6.0,2.0,3
0,13,2020,1,12754,2,5.16,2.0,3
0,13,2020,1,12293,1,5.91,2.0,3
0,119,2020,1,12736,2,4.83,2.0,3
0,120,2018,1,25276,1,5.82,2.0,5
0,12,2019,2,7399,1,6.16,2.0,4
0,16,2018,1,10602,2,4.83,3.0,5
0,121,2016,1,77647,2,4.91,3.0,7
0,11,2019,1,7320,1,6.82,2.0,4
0,9,2019,2,12173,1,4.58,1.0,4
0,16,2018,1,18146,2,4.83,3.0,5
0,12,2016,2,32413,2,3.5,2.0,7
0,11,2016,2,26642,1,3.91,1.4,7
0,9,2017,2,13853,1,3.5,1.0,6
0,119,2017,2,29579,1,4.74,1.4,6
0,119,2017,1,43671,1,5.82,2.0,6
0,11,2016,2,58594,1,3.91,1.4,7
0,14,2017,1,56679,2,4.67,3.0,6
0,120,2018,1,16498,1,5.82,2.0,5
0,11,2018,2,26360,2,3.5,1.6,5
0,11,2015,1,49133,2,3.66,2.0,8
0,120,2016,1,59753,2,5.57,3.0,7
0,11,2017,2,58579,1,3.83,1.4,6
0,121,2018,1,13869,2,7.17,3.0,5
0,118,2018,2,15504,1,4.67,1.4,5
0,118,2017,1,29539,2,3.41,1.6,6
0,120,2017,1,46033,1,5.75,2.0,6
0,9,2017,2,24441,2,3.08,1.6,6
0,13,2015,1,69872,2,4.67,2.0,8
0,16,2018,1,19625,2,4.67,3.0,5
0,13,2018,1,20416,2,3.99,3.0,5
0,9,2019,1,8619,1,5.33,1.5,4
0,12,2020,1,12815,1,5.67,2.0,3
0,13,2020,1,11946,2,4.58,2.0,3
0,9,2017,2,19550,1,3.5,1.0,6
0,120,2016,1,71655,2,5.57,3.0,7
0,119,2016,2,33718,2,4.25,2.0,7
0,14,2019,1,7373,2,6.0,3.0,4
0,120,2014,2,59497,2,4.91,2.0,9
0,119,2015,2,61547,1,4.74,1.4,8
0,121,2015,1,42497,2,4.91,3.0,8
0,118,2019,2,10434,2,4.74,1.6,4
0,11,2019,2,5351,2,4.74,1.6,4
0,119,2017,1,14609,1,5.82,2.0,6
0,9,2017,2,36092,1,3.5,1.0,6
0,12,2015,1,67197,2,4.41,2.0,8
0,11,2015,1,57059,1,3.99,1.4,8
0,11,2017,2,23507,1,3.91,1.0,6
0,9,2016,2,40156,1,4.25,1.4,7
0,13,2014,2,79887,2,3.66,2.0,9
0,119,2017,2,34723,1,4.74,1.4,6
0,120,2017,1,33586,2,4.25,2.0,6
0,12,2017,1,48763,2,3.75,2.0,6
0,119,2016,2,35973,2,4.74,2.0,7
0,119,2016,1,37344,2,4.25,2.0,7
0,9,2017,2,24721,1,4.25,1.4,6
0,14,2019,1,13837,2,4.91,2.0,4
0,11,2019,1,9656,2,4.5,1.6,4
0,11,2019,1,8366,2,4.5,1.6,4
0,9,2018,2,24288,1,4.08,1.4,5
0,11,2017,1,4922,1,5.41,2.0,6
0,154,2016,1,45825,1,5.75,2.0,7
0,11,2013,2,57620,1,4.33,1.4,10
0,11,2017,2,38624,1,3.91,1.4,6
0,121,2019,1,5252,2,7.0,3.0,4
0,11,2019,1,4615,2,4.5,1.6,4
0,12,2019,1,10526,2,4.91,2.0,4
0,120,2019,1,7259,2,6.16,2.0,4
0,119,2017,1,43543,1,4.91,1.4,6
0,12,2013,2,67890,2,4.25,2.0,10
0,120,2015,1,95144,2,4.99,2.0,8
0,13,2016,1,66676,2,4.5,2.0,7
0,120,2019,1,48,1,7.08,2.0,4
0,120,2019,1,8151,2,6.16,2.0,4
0,120,2019,1,7464,2,6.16,2.0,4
0,129,2017,1,56207,1,8.0,4.0,6
0,118,2018,1,7470,2,5.08,1.6,5
0,14,2015,1,47568,2,3.5,2.0,8
0,14,2019,1,7884,2,4.91,2.0,4
0,11,2017,2,27358,1,3.91,1.4,6
0,12,2017,1,82404,2,4.16,2.0,6
0,11,2013,1,62403,1,4.16,1.4,10
0,119,2017,2,35360,1,4.74,1.4,6
0,154,2018,1,28401,1,6.82,2.5,5
0,118,2017,1,9131,1,4.5,1.4,6
0,13,2017,1,35543,2,3.75,2.0,6
0,16,2019,1,16238,1,6.24,3.0,4
0,119,2015,1,33514,1,4.91,1.4,8
0,9,2015,2,32254,1,4.08,1.4,8
0,118,2019,2,5885,2,4.74,1.6,4
0,118,2019,2,7245,2,4.91,1.6,4
0,12,2017,1,50233,2,3.5,2.0,6
0,118,2018,2,26415,1,4.67,1.4,5
0,118,2018,2,43770,1,4.67,1.4,5
0,11,2018,1,27625,1,5.41,2.0,5
0,11,2018,1,29423,1,5.33,2.0,5
0,120,2018,1,24262,2,4.16,2.0,5
0,120,2017,1,47201,2,4.16,2.0,6
0,118,2017,2,41070,1,4.67,1.4,6
0,12,2020,1,12103,2,4.74,2.0,3
0,15,2019,1,1501,2,5.16,2.0,4
0,11,2019,1,9685,2,4.5,1.6,4
0,11,2019,2,18233,1,5.5,1.5,4
0,120,2016,1,37784,2,5.57,3.0,7
0,118,2017,2,28762,2,3.66,1.6,6
0,13,2019,1,6963,1,5.91,2.0,4
0,121,2019,1,7745,2,7.08,3.0,4
0,118,2019,2,5758,2,4.91,1.6,4
0,14,2019,1,6752,2,4.91,2.0,4
0,9,2015,2,51603,1,4.25,1.4,8
0,16,2017,1,24255,2,4.99,3.0,6
0,119,2017,2,80927,2,3.83,2.0,6
0,119,2017,1,41306,1,5.82,2.0,6
0,121,2017,1,53373,2,4.91,3.0,6
0,118,2017,2,43577,1,4.67,1.4,6
0,118,2017,2,48077,1,4.67,1.4,6
0,120,2015,1,46633,2,4.99,2.0,8
0,119,2016,1,45908,2,4.67,2.0,7
0,119,2017,2,22640,2,4.33,2.0,6
0,11,2018,2,10172,1,4.67,2.0,5
0,16,2018,1,7145,1,6.24,3.0,5
0,11,2019,2,3355,2,4.58,1.6,4
0,120,2019,1,4364,2,6.16,2.0,4
0,14,2019,1,6385,2,4.91,2.0,4
0,118,2019,2,11138,1,4.99,1.0,4
0,11,2015,2,80566,1,4.08,1.2,8
0,9,2015,2,50694,1,4.08,1.4,8
0,9,2015,2,35094,1,4.08,1.4,8
0,13,2019,1,11611,2,5.08,2.0,4
0,14,2019,1,8685,2,4.67,2.0,4
0,11,2019,2,7987,1,5.5,1.5,4
0,11,2017,2,22028,1,5.82,2.0,6
0,11,2017,1,31760,1,4.08,1.4,6
0,119,2017,1,35687,1,4.91,1.4,6
0,12,2018,1,22381,1,4.74,1.4,5
0,9,2018,2,32357,1,3.5,1.0,5
0,120,2018,1,12699,1,5.75,2.0,5
0,12,2019,1,7782,2,4.83,2.0,4
0,13,2019,2,7382,1,6.32,2.0,4
0,13,2019,2,9207,1,6.32,2.0,4
0,121,2019,1,6817,2,7.08,3.0,4
0,120,2015,1,29270,2,4.99,2.0,8
0,13,2016,2,66782,2,4.08,2.0,7
0,9,2016,2,22467,1,3.99,1.4,7
0,14,2019,1,17464,2,4.91,2.0,4
0,11,2019,2,16188,1,5.41,1.5,4
0,11,2019,2,9631,1,5.41,1.5,4
0,12,2019,1,10000,1,6.08,2.0,4
0,128,2019,1,8189,1,7.81,2.9,4
0,118,2019,2,4435,1,5.57,1.0,4
0,14,2019,1,8017,2,4.91,2.0,4
0,12,2016,1,66795,2,3.5,2.0,7
0,119,2017,1,42637,1,4.91,1.4,6
0,9,2017,2,38068,1,4.25,1.4,6
0,128,2019,1,5442,1,7.81,2.9,4
0,11,2018,2,28628,1,4.33,1.5,5
0,14,2019,1,8083,2,4.91,2.0,4
0,14,2019,1,10039,2,6.24,3.0,4
0,13,2019,1,7274,1,5.91,2.0,4
0,13,2019,1,8384,1,5.91,2.0,4
0,13,2019,1,5240,1,5.82,2.0,4
0,12,2019,1,8370,2,5.33,2.0,4
0,121,2019,1,45,2,7.0,3.0,4
0,9,2017,2,41435,1,3.5,1.0,6
0,9,2017,2,43452,1,4.25,1.4,6
0,120,2016,1,82980,2,5.5,3.0,7
0,11,2016,2,64421,2,2.83,1.6,7
0,14,2016,1,69360,2,4.16,2.0,7
0,118,2017,2,30323,1,4.25,1.0,6
0,12,2016,1,51328,2,3.66,3.0,7
0,13,2019,1,9192,2,4.58,2.0,4
0,13,2015,1,62023,2,3.99,2.0,8
0,9,2017,2,41121,1,4.16,1.4,6
0,15,2015,1,116327,2,4.33,3.0,8
0,120,2016,1,36707,2,5.57,3.0,7
0,11,2017,2,25915,2,3.58,2.0,6
0,9,2016,2,38213,1,4.08,1.4,7
0,154,2016,2,47625,2,3.75,2.0,7
0,9,2014,1,24622,1,4.41,1.4,9
0,119,2018,1,14781,1,4.83,1.4,5
0,118,2019,2,2562,1,6.0,1.5,4
0,9,2016,2,73456,2,2.91,1.6,7
0,122,2019,1,7222,2,7.0,3.0,4
0,120,2016,1,46921,2,5.57,3.0,7
0,9,2015,2,25487,1,3.99,1.4,8
0,119,2016,2,24564,2,3.83,2.0,7
0,118,2018,2,13214,2,4.74,1.6,5
0,118,2017,2,17641,1,4.67,1.4,6
0,120,2016,1,67893,2,5.5,3.0,7
0,9,2017,2,13080,1,4.25,1.4,6
0,12,2016,2,89635,2,3.33,2.0,7
0,119,2015,2,57044,2,4.33,2.0,8
0,119,2016,1,48869,2,4.67,2.0,7
0,120,2017,1,51643,1,5.82,2.0,6
0,119,2015,1,31060,1,4.91,1.4,8
0,12,2016,2,60314,2,3.17,2.0,7
0,11,2019,1,10084,1,6.16,2.0,4
0,9,2016,2,13803,1,4.25,1.4,7
0,11,2018,2,21157,2,3.5,1.6,5
0,14,2017,1,39164,2,3.83,2.0,6
0,118,2018,2,38323,1,4.25,1.0,5
0,118,2017,1,28377,1,4.5,1.4,6
0,14,2015,1,88867,2,3.66,2.0,8
0,120,2017,1,77171,2,4.16,2.0,6
0,120,2014,1,81271,2,5.33,3.0,9
